,channelTitle,view_count,Likes,Dislikes,Comments,Response_Percentage,LikesPercentage,DislikesPercentage,CommentsPercentage
105,AfroSenju XL,316064,14083,243,1491,4.532626303533462,4.455743140629746,0.0768831629037157,0.47173990077958894
106,Agent 00,3296444,187989,3021,19984,5.794425750900061,5.702781542777611,0.09164420812244953,0.6062290152661474
107,AidanRGallagher,1472373,151676,1872,0,10.428607424884863,10.301465729132495,0.12714169575236708,0.0
108,Aileen and Deven,1029076,41657,974,309,4.142648356389616,4.048000342054426,0.09464801433519002,0.030026936786009973
109,Al Jazeera English,4283044,24836,2610,7981,0.6408059314823756,0.5798679630655207,0.06093796841685493,0.18633943522410698
110,Alan Becker,42737833,1717586,26810,105328,4.081620142041362,4.018888837906218,0.06273130413514415,0.2464514286440307
111,Alemán,7811977,549835,11186,25291,7.181549561653855,7.038359175916672,0.1431903857371828,0.32374647288388075
112,Alex Martens,700264,20630,1596,996,3.1739458261455678,2.9460317822992472,0.22791404384632083,0.14223207247552352
113,Alex Meyers,11482479,731898,16076,79425,6.514046313518187,6.374041703015525,0.14000461050266236,0.6917060331658347
114,Alex Murphy,9952612,125827,12857,695,1.3934432488677344,1.2642610804078367,0.12918216845989777,0.006983091473876405
115,Alex Sensation,250958,9144,195,438,3.721339825787582,3.6436375807904113,0.07770224499717084,0.17453119645518372
116,Alex Warren,2073336,170776,2189,10392,8.342352614337473,8.236773971994891,0.1055786423425822,0.5012212202942504
117,Alexa Rivera,45610597,2135614,79287,145905,4.856110521859646,4.682275919343919,0.17383460251572677,0.3198927652711934
118,Alexandra Cooper,680371,23594,645,1423,3.562615102642529,3.467813883895698,0.09480121874683077,0.20915059577789177
119,Alexis Valdes Real,422324,40386,359,2736,9.647805949934174,9.562800125022495,0.08500582491167918,0.6478438355385913
120,Alfie Deyes Vlogs,1267428,108949,582,5997,8.641989919742976,8.596070151519456,0.04591976822352039,0.473162972571223
121,AlfredoOlivasVEVO,3827494,124703,1269,4068,3.2912396466199554,3.2580847938625115,0.033154852757443905,0.10628364146357905
122,Ali Gatie,3639319,250066,1310,14629,6.907226324485433,6.8712305791275785,0.03599574535785404,0.4019708082748448
123,Ali-A,11745502,477797,15602,31046,4.200748507811756,4.067914679168247,0.13283382864350965,0.26432246148355343
124,AlishaMarie,3808729,227397,2910,41379,6.046820343479412,5.97041690285657,0.07640344062284295,1.086425419083374
125,Alissa Ashley,1094686,58949,574,1120,5.437449643094001,5.385014515577983,0.05243512751601829,0.10231244393369422
126,Aliya Janell,443572,40384,388,1334,9.191743392279044,9.10427168531828,0.08747170696076398,0.30074035331355453
127,All Blacks,3479811,86521,1495,6293,2.52933277123384,2.4863706678322472,0.04296210340159279,0.1808431549874404
128,All Elite Wrestling,13842117,394804,12203,48532,2.940352259701316,2.8521937793185828,0.08815848038273337,0.3506111095578805
129,All Things Adrienne,628835,25537,414,2955,4.12683772372721,4.061001693608021,0.06583603011918866,0.46991659179275963
130,All Things MMA,8326586,39713,18382,5004,0.6977049177177778,0.4769421705366401,0.22076274718113761,0.060096659062910056
131,Allure,196351,8873,89,259,4.5642752010430305,4.51894821009315,0.04532699094988057,0.1319066365844839
132,Almaz,6312227,131749,6248,6579,2.1861856362263272,2.087203137656488,0.09898249856983914,0.10422628970726179
133,Almighty,2857207,135707,9599,13266,5.085595828373653,4.749638370618579,0.3359574577550734,0.46429957647450815
134,Almighty Jay,520939,45805,482,2662,8.885301350062099,8.792776121580454,0.09252522848164564,0.5110003282534039
135,Alondra & Elsy,1235638,88187,1327,6721,7.244354738200023,7.136960825096024,0.10739391310399972,0.5439295327595947
136,AlondraDessy,15417820,1002048,20337,95149,6.63119040175589,6.499284594060639,0.13190580769525134,0.6171365342181969
137,Alonzo Lerone,230886,14533,141,2574,6.3555174415079305,6.294448342472043,0.06106909903588784,1.1148358930381228
138,Alpha Better Records,756156,27146,468,8228,3.651891937642497,3.589999947100863,0.061891990541634266,1.0881352525140315
139,Alpharad,3099772,221853,2678,24409,7.243468229276218,7.157074778403056,0.086393450873161,0.7874450120847598
140,Alpharad Deluxe,857955,41957,1280,5439,5.039541700905059,4.890349726967032,0.14919197393802705,0.6339493330069759
141,Alteori,267535,11498,357,4630,4.431195918291064,4.297755433868466,0.1334404844225989,1.730614685928944
142,AlternateHistoryHub,335485,23848,284,2550,7.193168099915049,7.108514538652995,0.08465356126205345,0.7600935958388602
143,Alton Brown,1156617,41036,744,2990,3.6122588549191303,3.5479333262436916,0.0643255286754388,0.2585125413166156
144,Alvaro Romero,233748,20807,263,1927,9.013980868285504,8.901466536612078,0.11251433167342609,0.8243920803600459
145,Aly & AJ,1369229,87855,548,4594,6.4564072189531485,6.416384695328539,0.04002252362460918,0.33551728746615794
146,Alyssa Mikesell,310725,15532,130,904,5.040469868855097,4.9986322310724915,0.0418376377826052,0.2909324965805777
147,AmandaRachLee,525561,25449,189,2052,4.878215849349552,4.8422542768584425,0.0359615724911095,0.3904399299034746
148,Amazing Auditions,551384,2788,193,168,0.5406395542852168,0.5056367250409878,0.03500282924422907,0.03046878400533929
149,AmazingPhil,5770638,759416,2739,55164,13.207465101779041,13.160000679300971,0.047464422478069146,0.9559428264257782
150,Amazon Music,848073,100228,271,3806,11.850277039830297,11.818322243486115,0.031954796344182634,0.44878212135040263
151,Amazon Prime Video,76031427,276170,13891,30723,0.3815014546550599,0.363231377993208,0.018270076661851948,0.04040829064013227
152,Amazon Prime Video Sport,3193450,46106,18018,12037,2.0079850944902846,1.4437677120355727,0.564217382454712,0.37692777403748295
153,Amber Scholl,862177,77197,798,8941,9.046286319398453,8.953729918566605,0.09255640083184775,1.0370260398966802
154,Amelie,3597456,270019,2267,6931,7.568848653048154,7.505831898986395,0.0630167540617592,0.19266392695282444
155,Amenazzy,11196259,382531,4394,16109,3.4558418128769617,3.416596561405019,0.03924525147194255,0.14387841510275887
156,America's Got Talent,82995930,3385714,50579,206459,4.140315073281304,4.079373530726145,0.06094154255515903,0.24875798126486443
157,American Eagle,1131192,53543,1181,939,4.837728696808322,4.733325553928953,0.10440314287936972,0.08300978083296204
158,American Idol,14776337,208599,18734,26779,1.5384936063653665,1.411709816851091,0.12678378951427544,0.1812289473365422
159,Amerikano,1777365,32066,1207,1460,1.8720409144998353,1.804131396758685,0.06790951774115052,0.0821440728269095
160,Among Us Adventures,827860,24941,935,3101,3.1256492643683713,3.012707462614452,0.11294180175391974,0.3745802430362622
161,Amp World,7347296,431457,4428,21313,5.932590710922767,5.872323641241621,0.06026706968114528,0.2900795068008693
162,AnEsonGib,1978782,213823,1297,12053,10.871333982217344,10.80578861137811,0.06554537083923342,0.6091120699501006
163,Ana Bárbara,694860,20683,322,1721,3.022911090003742,2.9765708200212995,0.046340269982442506,0.24767579080678123
164,Anderson Paak,822530,40530,654,1857,5.006990626481709,4.927479848759316,0.07951077772239311,0.2257668413310153
165,Andrea Bocelli,2672715,72637,979,2757,2.7543527835927137,2.7177233636957174,0.03662941989699613,0.1031535348886806
166,Andrei Jikh,457267,26510,390,4065,5.882777458246495,5.797488119632512,0.08528933861398263,0.888977337091896
167,Andrei Terbea,7234776,587934,10794,53765,8.275695059529141,8.12649900978275,0.14919604974639158,0.7431467124897855
168,Andrew Camarata,717480,37276,551,2510,5.272202709483191,5.19540614372526,0.07679656575793053,0.3498355354853097
169,Andrew Davila,6148412,594963,4188,38657,9.744808903502237,9.67669375441984,0.06811514908239721,0.6287314513080776
170,Andrew Piluk,593530,45105,1613,3313,7.87121122773912,7.599447374184961,0.271763853554159,0.5581857698852627
171,Android,109832,1527,46,114,1.432187340665744,1.3903051933862627,0.04188214727948139,0.10379488673610605
172,Angel Hello,6452922,117460,4262,6042,1.8863082491931562,1.8202606509113235,0.06604759828183264,0.09363200113065058
173,Angela Aguilar Oficial,9606315,387068,10112,18110,4.134571893592913,4.029307804293322,0.10526408929959094,0.18852182132274448
174,Angelica Torres,229122,34824,670,2991,15.4913103062997,15.198889674496556,0.29242063180314415,1.3054180742137376
175,AngryJoeShow,1437267,73871,5201,23304,5.501552599482212,5.139685249852672,0.36186734962954,1.6214106356021531
176,Animal Planet,138842,3682,44,259,2.6836259921349446,2.6519352933550366,0.0316906987799081,0.18654297690900448
177,AnimeUproar,588600,26091,426,3266,4.505096839959226,4.4327217125382266,0.07237512742099898,0.5548759768943256
178,Anitta,35646955,2292533,80258,491570,6.656363776373045,6.431216916003064,0.2251468603699811,1.378995765556974
179,AnnMarieVEVO,425382,33010,167,1909,7.799342708436182,7.760083877550061,0.03925883088612118,0.4487731027641038
180,Annie Dubé,280332,5270,214,1123,1.9562518727794187,1.8799138164747513,0.07633805630466732,0.40059643565486636
181,Annie LeBlanc,442906,40462,554,2773,9.260655759912938,9.135572785195956,0.12508297471698285,0.6260922182133455
182,Anthony Vincent,1435764,120331,1209,6153,8.465179514181996,8.380973474749332,0.08420603943266441,0.4285523247553219
183,AnthonyPadilla,10236684,939503,11071,54695,9.285956272558575,9.177806016088804,0.10815025646977088,0.534303881999288
184,AnthonySenpai,138985099,4098011,175174,28618,3.074563410571086,2.9485254386874957,0.1260379718835902,0.020590696560931328
185,Antonio Garza,415329,38393,413,2153,9.343436167472053,9.243996927736806,0.09943923973524603,0.5183842207021422
186,AntsCanada,2225240,151206,3093,31366,6.9340385756143155,6.795042332512448,0.13899624310186767,1.409555823192105
187,Anuel AA,81723572,880963,39331,61057,1.1261059416247738,1.0779790682668644,0.048126873357909515,0.07471161441646236
188,Anwar Jibawi,2002407,81177,1294,3466,4.118593272995949,4.053971045846324,0.06462222714962543,0.1730916841581157
189,Apex Legends,89236877,3863228,57542,368512,4.3936656366851565,4.329183326305783,0.06448231037937377,0.4129593194974764
190,Aphmau,4671877,188659,3369,14686,4.110296568167356,4.038184224456252,0.0721123437111037,0.31434902930877673
191,Apple,213782302,4307897,311527,0,2.160807492848496,2.0150858886345047,0.1457216042139915,0.0
192,Apple Music,1671151,127155,460,6548,7.6363536269313785,7.608827688222069,0.027525938709308733,0.3918257536272904
193,Apple TV,14665050,74883,6113,0,0.5523063337663356,0.5106221935827018,0.04168414018363388,0.0
194,AppleInsider,353854,3606,706,984,1.2185816749280778,1.0190643598772375,0.19951731505084017,0.27808079038247413
195,Ar'mon And Trey,531515,57190,603,3951,10.873258515752143,10.759809224575035,0.11344929117710695,0.743346848160447
196,Arcangel,30587106,932392,14187,32311,3.094699446230709,3.048317156909189,0.04638228932151999,0.10563601538504493
197,Architectural Digest,16492918,706978,11152,31578,4.35417189365763,4.2865549928763365,0.06761690078129291,0.19146399685004195
198,Ariana Grande,13679567,1915026,11676,116990,14.084524751404778,13.999171172596325,0.08535357880845205,0.855217127852073
199,Ariana Lee,3394639,192986,28056,8139,6.511502401286263,5.685022766780208,0.826479634506055,0.23976039867567656
200,ArianaGrandeVevo,163845676,11047030,206510,724471,6.8683777776350965,6.742338442913806,0.1260393347212898,0.44216668861007963
201,Ariel Helwani,78031,4100,161,1074,5.460650254386078,5.254322000230678,0.20632825415539977,1.3763760556701823
202,Arirang News,983659,8276,640,3162,0.9064116731509598,0.841348475437118,0.06506319771384189,0.3214528612049501
203,Arlo,357295,33412,507,4138,9.493275864481731,9.351376313690368,0.14189955079136288,1.1581466295358178
204,Arsenal,3788918,77624,2015,6915,2.1018929414677223,2.048711531893802,0.05318140957392058,0.1825059291333304
205,AsapSCIENCE,1780952,136109,3730,13252,7.851924139449014,7.642485591975528,0.2094385474734861,0.7440964158495007
206,Ash Magic,5854655,194223,8703,897,3.4660624750732536,3.317411529799792,0.1486509452734619,0.01532114189478287
207,AsheMusicVEVO,3769948,385089,1436,17982,10.252793937741316,10.214703226675805,0.03809071106551072,0.47698270639276724
208,Ashnikko,8232014,657891,10593,31542,8.120540125417667,7.9918595862446296,0.12868053917303834,0.3831626136690244
209,Ashton Irwin,752674,140450,773,10932,18.762837563141545,18.660137058009177,0.10270050513236806,1.452421632738742
210,Ashtvn,890991,16293,588,1729,1.8946319323090806,1.8286379997104347,0.06599393259864578,0.19405358752220842
211,Asian Boss,2650479,308420,2446,38048,11.72867243996274,11.636387234156542,0.09228520580619579,1.435514108959173
212,Asis Food,608672,12275,859,113,2.157812417853951,2.016685505493928,0.14112691236002314,0.018565007097418644
213,Ask A Mortician,558060,47873,639,5384,8.692972081854998,8.578468265061105,0.11450381679389313,0.9647708131742107
214,Aspyn Ovard,538110,26175,265,384,4.913493523628998,4.864247087026816,0.04924643660218171,0.07136087417070859
215,Aspyn and Parker,2456850,105325,1279,976,4.339052038178969,4.286993507947168,0.05205853023180088,0.03972566497751186
216,Associated Press,2011589,20961,4736,12894,1.277447828557424,1.0420120611118873,0.23543576744553685,0.6409858077370676
217,Astartes,380038,79781,1606,11282,21.415490029944372,20.992900709929007,0.42258932001536686,2.9686505033707156
218,Aston Villa FC,5745609,88695,3938,7696,1.6122398861460987,1.5437005894414326,0.06853929670466612,0.13394576623644247
219,Audrey and Spencer,2236875,90071,1372,17485,4.087979882648785,4.026644314054205,0.06133556859457949,0.7816708577815032
220,August Alsina,859310,40897,1257,4295,4.905563766277595,4.759283611269507,0.1462801550080879,0.49981962272055486
221,Austin Burke,245350,3026,429,859,1.4081923782351742,1.233340126350112,0.17485225188506215,0.3501120847768494
222,Austin Evans,11260115,502001,24575,47447,4.676470888618811,4.458222673569497,0.21824821504931344,0.421372250638648
223,Austin Felt,3972617,217253,6701,550,5.637442522145981,5.468762782820494,0.16867973932548747,0.013844777888228339
224,Austin John Plays,970489,42458,900,4900,4.467644661608736,4.374907907250881,0.09273675435785465,0.5049001070594309
225,Austin Sprinz,80444154,1849192,93439,6176,2.414881508978266,2.2987276365663565,0.11615387241190951,0.0076773757854424075
226,Australian Open TV,4827987,38179,2985,13298,0.8526120720706166,0.7907850621801591,0.06182700989045745,0.27543570436291565
227,Ava Jules,320101,18262,211,617,5.770991030955854,5.705074335912728,0.06591669504312701,0.1927516627564425
228,Avianne Jewelers,327149,5571,245,719,1.777783211930955,1.7028937884572473,0.0748894234737077,0.21977753256161567
229,AwesomenessTV,2729583,108195,1617,4412,4.0230320895169704,3.963792271566756,0.05923981795021437,0.16163641112946556
230,AwesomenessTV Daily Report,336454,8437,305,464,2.5982749499188595,2.5076236275984236,0.09065132232043607,0.13790889690715522
231,AwesomenessTV My Dream Quinceañera,278339,12510,334,605,4.614516830196272,4.4945192732603045,0.11999755693596657,0.21736084415047838
232,Awkward Puppets,4170627,296218,2895,12931,7.17189525699613,7.102481233637053,0.06941402335907766,0.31004930433721356
233,Axel Rulay,2379914,87823,2471,5179,3.794002640431545,3.690175359277688,0.10382728115385682,0.217612905340277
234,Azerrz,1482747,138626,775,7317,9.401536472506773,9.349268621012216,0.05226785149455706,0.4934759604976439
235,AzzyLand,5566587,171996,5477,21487,3.1881833518455744,3.0897927221832697,0.09839062966230475,0.3859995361610265
236,B/R Football,9436188,569217,6996,24228,6.106417125220481,6.032277016947946,0.07414010827253548,0.25675622401757997
237,BANDAI NAMCO Entertainment Europe,3260845,156863,2043,16420,4.873154044427134,4.810501572445179,0.0626524719819556,0.5035504600801326
238,BANGTANTV,295064444,45931414,251681,2365390,15.651867223961421,15.566570264223364,0.08529695973805641,0.8016519943690674
239,BBC,18945402,221970,31813,78911,1.3395493006693655,1.1716299289927974,0.16791937167656829,0.41651794984345014
240,BBC News,26521380,290567,32554,127769,1.2183415795105685,1.0955953272416443,0.12274625226892416,0.4817584906969396
241,BBC Sport,902264,17798,478,5672,2.0255712297066046,1.9725933873012778,0.05297784240532705,0.6286408412615376
